variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
albmax_dectr,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
gsmodel,0,Formulation choice for conductance calculation.,`gsModel <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-gsmodel>`_,Scalar
albmin_dectr,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
drainrt,0,Drainage rate of bucket for LUMPS [mm |h^-1|],`LUMPS_DrRate <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lumps-drrate>`_,Scalar
flowchange,0,Difference in input and output flows for water surface [mm |h^-1|],`FlowChange <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-flowchange>`_,Scalar
frfossilfuel_nonheat,0,Fraction of fossil fuels used for building energy use [-],`FrFossilFuel_NonHeat <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-frfossilfuel-nonheat>`_,Scalar
startdls,0,Start of the day light savings [DOY],`StartDLS <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-startdls>`_,Scalar
tau_r,0,Time constant for snow density ageing [-],`tau_r <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tau-r>`_,Scalar
maxqfmetab,0,Maximum value for human heat emission. [W |m^-2|],`MaxQFMetab <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-maxqfmetab>`_,Scalar
surfacearea,0,Area of the grid [ha].,`SurfaceArea <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-surfacearea>`_,Scalar
albmax_grass,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
snowd,"(7,)",Limit for the snow water equivalent when snow cover starts to be patchy [mm],`SnowLimPatch <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowlimpatch>`_,7: Seven SUEWS land cover types in the order of [paved; buildings; evergreen trees/shrubs; deciduous trees/shrubs; grass; bare soil and water]: https://suews-docs.readthedocs.io/en/latest/introduction.html
runofftowater,0,Fraction of above-ground runoff flowing to water surface during flooding [-],`RunoffToWater <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-runofftowater>`_,Scalar
internalwateruse_h,0,Internal water use [mm |h^-1|],`InternalWaterUse <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-internalwateruse>`_,Scalar
faidectree,0,Frontal area index for deciduous trees [-],`FAI_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fai-dectr>`_,Scalar
resp_a,"(3,)",Respiration coeﬃcient a.,`resp_a <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-resp-a>`_,3: See variable description for specifics
